Area|Ethnic group|Age group|Birthplace|Year|Value|Flags
"Timaru District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Eastern Europe"|"2018"|123|
"Timaru District"|"Total people - ethnic group"|"Total people - age group"|"North Africa and the Middle East"|"2018"|69|
"Timaru District"|"Total people - ethnic group"|"Total people - age group"|"North-West Europe"|"2018"|2556|
"Timaru District"|"Total people - ethnic group"|"Total people - age group"|"Australia"|"2018"|657|
"Timaru District"|"Total people - ethnic group"|"Total people - age group"|"Pacific Islands"|"2018"|408|
"Timaru District"|"Total people - ethnic group"|"Total people - age group"|"New Zealand"|"2018"|39693|
"Ashburton District"|"Total people - ethnic group"|"Total people - age group"|"Sub-Saharan Africa"|"2018"|417|
"Ashburton District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Central Asia"|"2018"|384|
"Ashburton District"|"Total people - ethnic group"|"Total people - age group"|"The Americas"|"2018"|441|
"Ashburton District"|"Total people - ethnic group"|"Total people - age group"|"South-East Asia"|"2018"|1341|
"Ashburton District"|"Total people - ethnic group"|"Total people - age group"|"North-East Asia"|"2018"|195|
"Ashburton District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Eastern Europe"|"2018"|195|
"Ashburton District"|"Total people - ethnic group"|"Total people - age group"|"North Africa and the Middle East"|"2018"|30|
"Ashburton District"|"Total people - ethnic group"|"Total people - age group"|"North-West Europe"|"2018"|1752|
"Ashburton District"|"Total people - ethnic group"|"Total people - age group"|"Australia"|"2018"|474|
"Ashburton District"|"Total people - ethnic group"|"Total people - age group"|"Pacific Islands"|"2018"|990|
"Ashburton District"|"Total people - ethnic group"|"Total people - age group"|"New Zealand"|"2018"|26874|
"Selwyn District"|"Total people - ethnic group"|"Total people - age group"|"Sub-Saharan Africa"|"2018"|1305|
"Selwyn District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Central Asia"|"2018"|657|
"Selwyn District"|"Total people - ethnic group"|"Total people - age group"|"The Americas"|"2018"|720|
"Selwyn District"|"Total people - ethnic group"|"Total people - age group"|"South-East Asia"|"2018"|1071|
"Selwyn District"|"Total people - ethnic group"|"Total people - age group"|"North-East Asia"|"2018"|1086|
"Selwyn District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Eastern Europe"|"2018"|336|
"Selwyn District"|"Total people - ethnic group"|"Total people - age group"|"North Africa and the Middle East"|"2018"|108|
"Selwyn District"|"Total people - ethnic group"|"Total people - age group"|"North-West Europe"|"2018"|5049|
"Selwyn District"|"Total people - ethnic group"|"Total people - age group"|"Australia"|"2018"|1146|
"Selwyn District"|"Total people - ethnic group"|"Total people - age group"|"Pacific Islands"|"2018"|438|
"Selwyn District"|"Total people - ethnic group"|"Total people - age group"|"New Zealand"|"2018"|48066|
"Christchurch City"|"Total people - ethnic group"|"Total people - age group"|"Sub-Saharan Africa"|"2018"|5103|
"Christchurch City"|"Total people - ethnic group"|"Total people - age group"|"Southern and Central Asia"|"2018"|10584|
"Christchurch City"|"Total people - ethnic group"|"Total people - age group"|"The Americas"|"2018"|5634|
"Christchurch City"|"Total people - ethnic group"|"Total people - age group"|"South-East Asia"|"2018"|15180|
"Christchurch City"|"Total people - ethnic group"|"Total people - age group"|"North-East Asia"|"2018"|16674|
"Christchurch City"|"Total people - ethnic group"|"Total people - age group"|"Southern and Eastern Europe"|"2018"|3327|
"Christchurch City"|"Total people - ethnic group"|"Total people - age group"|"North Africa and the Middle East"|"2018"|1470|
"Christchurch City"|"Total people - ethnic group"|"Total people - age group"|"North-West Europe"|"2018"|27642|
"Christchurch City"|"Total people - ethnic group"|"Total people - age group"|"Australia"|"2018"|6495|
"Christchurch City"|"Total people - ethnic group"|"Total people - age group"|"Pacific Islands"|"2018"|6765|
"Christchurch City"|"Total people - ethnic group"|"Total people - age group"|"New Zealand"|"2018"|266397|
"Waimakariri District"|"Total people - ethnic group"|"Total people - age group"|"Sub-Saharan Africa"|"2018"|903|
"Waimakariri District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Central Asia"|"2018"|255|
"Waimakariri District"|"Total people - ethnic group"|"Total people - age group"|"The Americas"|"2018"|504|
"Waimakariri District"|"Total people - ethnic group"|"Total people - age group"|"South-East Asia"|"2018"|582|
"Waimakariri District"|"Total people - ethnic group"|"Total people - age group"|"North-East Asia"|"2018"|354|
"Waimakariri District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Eastern Europe"|"2018"|240|
"Waimakariri District"|"Total people - ethnic group"|"Total people - age group"|"North Africa and the Middle East"|"2018"|78|
"Waimakariri District"|"Total people - ethnic group"|"Total people - age group"|"North-West Europe"|"2018"|6138|
"Waimakariri District"|"Total people - ethnic group"|"Total people - age group"|"Australia"|"2018"|1065|
"Waimakariri District"|"Total people - ethnic group"|"Total people - age group"|"Pacific Islands"|"2018"|330|
"Waimakariri District"|"Total people - ethnic group"|"Total people - age group"|"New Zealand"|"2018"|48618|
"Hurunui District"|"Total people - ethnic group"|"Total people - age group"|"Sub-Saharan Africa"|"2018"|102|
"Hurunui District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Central Asia"|"2018"|90|
"Hurunui District"|"Total people - ethnic group"|"Total people - age group"|"The Americas"|"2018"|168|
"Hurunui District"|"Total people - ethnic group"|"Total people - age group"|"South-East Asia"|"2018"|261|
"Hurunui District"|"Total people - ethnic group"|"Total people - age group"|"North-East Asia"|"2018"|57|
"Hurunui District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Eastern Europe"|"2018"|54|
"Hurunui District"|"Total people - ethnic group"|"Total people - age group"|"North Africa and the Middle East"|"2018"|9|
"Hurunui District"|"Total people - ethnic group"|"Total people - age group"|"North-West Europe"|"2018"|1038|
"Hurunui District"|"Total people - ethnic group"|"Total people - age group"|"Australia"|"2018"|231|
"Hurunui District"|"Total people - ethnic group"|"Total people - age group"|"Pacific Islands"|"2018"|72|
"Hurunui District"|"Total people - ethnic group"|"Total people - age group"|"New Zealand"|"2018"|10323|
"Westland District"|"Total people - ethnic group"|"Total people - age group"|"Sub-Saharan Africa"|"2018"|111|
"Westland District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Central Asia"|"2018"|111|
"Westland District"|"Total people - ethnic group"|"Total people - age group"|"The Americas"|"2018"|153|
"Westland District"|"Total people - ethnic group"|"Total people - age group"|"South-East Asia"|"2018"|171|
"Westland District"|"Total people - ethnic group"|"Total people - age group"|"North-East Asia"|"2018"|72|
"Westland District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Eastern Europe"|"2018"|45|
"Westland District"|"Total people - ethnic group"|"Total people - age group"|"North Africa and the Middle East"|"2018"|6|
"Westland District"|"Total people - ethnic group"|"Total people - age group"|"North-West Europe"|"2018"|471|
"Westland District"|"Total people - ethnic group"|"Total people - age group"|"Australia"|"2018"|159|
"Westland District"|"Total people - ethnic group"|"Total people - age group"|"Pacific Islands"|"2018"|105|
"Westland District"|"Total people - ethnic group"|"Total people - age group"|"New Zealand"|"2018"|7098|
"Grey District"|"Total people - ethnic group"|"Total people - age group"|"Sub-Saharan Africa"|"2018"|129|
"Grey District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Central Asia"|"2018"|87|
"Grey District"|"Total people - ethnic group"|"Total people - age group"|"The Americas"|"2018"|96|
"Grey District"|"Total people - ethnic group"|"Total people - age group"|"South-East Asia"|"2018"|159|
"Grey District"|"Total people - ethnic group"|"Total people - age group"|"North-East Asia"|"2018"|39|
"Grey District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Eastern Europe"|"2018"|27|
"Grey District"|"Total people - ethnic group"|"Total people - age group"|"North Africa and the Middle East"|"2018"|6|
"Grey District"|"Total people - ethnic group"|"Total people - age group"|"North-West Europe"|"2018"|519|
"Grey District"|"Total people - ethnic group"|"Total people - age group"|"Australia"|"2018"|198|
"Grey District"|"Total people - ethnic group"|"Total people - age group"|"Pacific Islands"|"2018"|84|
"Grey District"|"Total people - ethnic group"|"Total people - age group"|"New Zealand"|"2018"|11868|
"Buller District"|"Total people - ethnic group"|"Total people - age group"|"Sub-Saharan Africa"|"2018"|93|
"Buller District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Central Asia"|"2018"|30|
"Buller District"|"Total people - ethnic group"|"Total people - age group"|"The Americas"|"2018"|102|
"Buller District"|"Total people - ethnic group"|"Total people - age group"|"South-East Asia"|"2018"|102|
"Buller District"|"Total people - ethnic group"|"Total people - age group"|"North-East Asia"|"2018"|33|
"Buller District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Eastern Europe"|"2018"|18|
"Buller District"|"Total people - ethnic group"|"Total people - age group"|"North Africa and the Middle East"|"2018"|3|
"Buller District"|"Total people - ethnic group"|"Total people - age group"|"North-West Europe"|"2018"|432|
"Buller District"|"Total people - ethnic group"|"Total people - age group"|"Australia"|"2018"|165|
"Buller District"|"Total people - ethnic group"|"Total people - age group"|"Pacific Islands"|"2018"|57|
"Buller District"|"Total people - ethnic group"|"Total people - age group"|"New Zealand"|"2018"|8427|
"Kaikoura District"|"Total people - ethnic group"|"Total people - age group"|"Sub-Saharan Africa"|"2018"|24|
"Kaikoura District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Central Asia"|"2018"|30|
"Kaikoura District"|"Total people - ethnic group"|"Total people - age group"|"The Americas"|"2018"|81|
"Kaikoura District"|"Total people - ethnic group"|"Total people - age group"|"South-East Asia"|"2018"|48|
"Kaikoura District"|"Total people - ethnic group"|"Total people - age group"|"North-East Asia"|"2018"|48|
"Kaikoura District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Eastern Europe"|"2018"|21|
"Kaikoura District"|"Total people - ethnic group"|"Total people - age group"|"North Africa and the Middle East"|"2018"|6|
"Kaikoura District"|"Total people - ethnic group"|"Total people - age group"|"North-West Europe"|"2018"|267|
"Kaikoura District"|"Total people - ethnic group"|"Total people - age group"|"Australia"|"2018"|87|
"Kaikoura District"|"Total people - ethnic group"|"Total people - age group"|"Pacific Islands"|"2018"|3|
"Kaikoura District"|"Total people - ethnic group"|"Total people - age group"|"New Zealand"|"2018"|3231|
"Marlborough District"|"Total people - ethnic group"|"Total people - age group"|"Sub-Saharan Africa"|"2018"|555|
"Marlborough District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Central Asia"|"2018"|351|
"Marlborough District"|"Total people - ethnic group"|"Total people - age group"|"The Americas"|"2018"|648|
"Marlborough District"|"Total people - ethnic group"|"Total people - age group"|"South-East Asia"|"2018"|651|
"Marlborough District"|"Total people - ethnic group"|"Total people - age group"|"North-East Asia"|"2018"|411|
"Marlborough District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Eastern Europe"|"2018"|300|
"Marlborough District"|"Total people - ethnic group"|"Total people - age group"|"North Africa and the Middle East"|"2018"|45|
"Marlborough District"|"Total people - ethnic group"|"Total people - age group"|"North-West Europe"|"2018"|3699|
"Marlborough District"|"Total people - ethnic group"|"Total people - age group"|"Australia"|"2018"|828|
"Marlborough District"|"Total people - ethnic group"|"Total people - age group"|"Pacific Islands"|"2018"|753|
"Marlborough District"|"Total people - ethnic group"|"Total people - age group"|"New Zealand"|"2018"|38523|
"Nelson City"|"Total people - ethnic group"|"Total people - age group"|"Sub-Saharan Africa"|"2018"|687|
"Nelson City"|"Total people - ethnic group"|"Total people - age group"|"Southern and Central Asia"|"2018"|849|
"Nelson City"|"Total people - ethnic group"|"Total people - age group"|"The Americas"|"2018"|996|
"Nelson City"|"Total people - ethnic group"|"Total people - age group"|"South-East Asia"|"2018"|1353|
"Nelson City"|"Total people - ethnic group"|"Total people - age group"|"North-East Asia"|"2018"|585|
"Nelson City"|"Total people - ethnic group"|"Total people - age group"|"Southern and Eastern Europe"|"2018"|342|
"Nelson City"|"Total people - ethnic group"|"Total people - age group"|"North Africa and the Middle East"|"2018"|84|
"Nelson City"|"Total people - ethnic group"|"Total people - age group"|"North-West Europe"|"2018"|5652|
"Nelson City"|"Total people - ethnic group"|"Total people - age group"|"Australia"|"2018"|1020|
"Nelson City"|"Total people - ethnic group"|"Total people - age group"|"Pacific Islands"|"2018"|444|
"Nelson City"|"Total people - ethnic group"|"Total people - age group"|"New Zealand"|"2018"|38367|
"Tasman District"|"Total people - ethnic group"|"Total people - age group"|"Sub-Saharan Africa"|"2018"|558|
"Tasman District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Central Asia"|"2018"|180|
"Tasman District"|"Total people - ethnic group"|"Total people - age group"|"The Americas"|"2018"|789|
"Tasman District"|"Total people - ethnic group"|"Total people - age group"|"South-East Asia"|"2018"|555|
"Tasman District"|"Total people - ethnic group"|"Total people - age group"|"North-East Asia"|"2018"|351|
"Tasman District"|"Total people - ethnic group"|"Total people - age group"|"Southern and Eastern Europe"|"2018"|258|
"Tasman District"|"Total people - ethnic group"|"Total people - age group"|"North Africa and the Middle East"|"2018"|78|
"Tasman District"|"Total people - ethnic group"|"Total people - age group"|"North-West Europe"|"2018"|5604|
"Tasman District"|"Total people - ethnic group"|"Total people - age group"|"Australia"|"2018"|1095|
